FID,name,source,aeroway,lat,lon
336, , ,helipad,29.685351099999998,61.137263400000002
337, , ,holding_position,35.332621000000003,75.545637700000000
338, , ,helipad,35.426076799999997,74.091963300000003
339, , ,helipad,25.103556999999999,62.327253300000002
340, ,Bing,helipad,31.356390099999999,69.455866799999995
341, ,Bing,helipad,31.357322300000000,69.455850699999999
342, , ,helipad,24.779743100000001,67.407917299999994
343, , ,helipad,34.623125999999999,75.784579199999996
344, , ,helipad,34.623306999999997,75.784662400000002
345, , ,helipad,32.422294200000003,71.453891999999996
346, , ,helipad,32.422665600000002,71.454659100000001
347, , ,helipad,32.423043700000001,71.455461099999994
348, , ,helipad,32.423360600000002,71.456123599999998
349, , ,helipad,32.423679900000003,71.456775399999998
350, , ,helipad,32.423994600000000,71.457453999999998
351, , ,helipad,32.928639699999998,74.383415799999995
352, , ,parking_position,32.534587000000002,74.367660799999996
