FID,Y,X,Province,School_Nam
350,30.593793903400002,67.579314142800001,Balochistan,GGPS Jabar Abad Shudan
351,30.604759625400000,67.563021980700000,Balochistan,GGPS Taran Tangi
352,30.638617976399999,67.340884384899994,Balochistan,GGHS Balozai
353,30.629582405099999,67.581110000600006,Balochistan,GGHS Gharshinan
354,30.637550319700001,67.562884340200000,Balochistan,GGMIDS Taran Obeshtagi
355,30.539957959999999,67.209685199999996,Balochistan,GBMIDS  Malik Umar Gowal
356,30.537599140000001,67.197985310000007,Balochistan,GBPS Zari Gawal
357,30.547696020000000,67.227904319999993,Balochistan,GBPS Sadahgul
358,30.583803635100001,67.281365347999994,Balochistan,GBPS Churmai Karaiz
359,30.585031877300001,67.302559995999999,Balochistan,GBMIDS Zarghoon
360,30.470891290000001,67.058002020000004,Balochistan,GBPS Sharan Karaiz
361,30.477952080000001,67.068993939999999,Balochistan,GBPS Sur Dab
362,30.388856470000000,67.030485639999995,Balochistan,GBPS Saagi Bostan
363,30.462931709999999,67.073908090000003,Balochistan,GBPS Faiz Abad
364,30.427840459999999,67.057341210000004,Balochistan,GBPS Neeli
365,30.452559340000001,67.045467819999999,Balochistan,GBPS Chowkal
366,30.443812608700000,67.064489722299996,Balochistan,GBPS Manzaki
367,30.453660150000001,67.063933840000004,Balochistan,GBMIDS Sahib Khan
