FID,fclass,name,X,Y
13560,restaurant,Shah Nawaz Pakwan Center,68.342223399999995,25.412357499999999
13561,school,Uqab Public High School,68.344070900000006,25.408671600000002
13562,hospital,Bone care trauma center,68.367235100000002,25.404381999999998
13563,hospital,Al Shifa Medical Complex,72.020593099999999,33.435459999999999
13564,hotel,Super Tala Gang Hall,71.951949099999993,30.298820700000000
13565,restaurant,Rajistan Bankquet Hall,71.482805999999997,30.172992099999998
13566,atm, ,74.350531200000006,31.435535200000000
13567,shelter, ,72.556252200000003,34.030150800000001
13568,doityourself,Yosafzai Cement& Steel house+ Sanitary,72.482775300000000,34.124542300000002
13569,attraction,Humayun Tauqeer CUST,73.102776599999999,33.636682600000000
13570,attraction,Aslam v 109,72.989785699999999,33.592916799999998
13571,supermarket,Times Departmental Store,71.658071300000003,29.398013899999999
13572,playground,Jinnah Ground,67.064855899999998,24.920324999999998
13573,hairdresser,Gul Hairdresser (Phool Bhai.,71.102463900000004,33.294611000000003
13574,convenience, ,74.401390199999994,31.323100600000000
13575,restaurant,Goonga Kabab Shop,74.320160799999996,31.562376300000000
13576,playground, ,71.702847000000006,29.379517199999999
13577,playground, ,71.703576299999995,29.378081000000002
13578,water_tower, ,72.379414299999993,34.766590100000002
13579,school,Ayesha Sadeeqa College,70.334445799999997,29.097805699999999
13580,police,Chitral Police station,71.789992200000000,35.854294400000001
13581,attraction,Rumboor valley (Grum village),71.693277499999994,35.775187000000003
13582,attraction,Bamburait valley,71.691356999999996,35.700071999999999
13583,hotel,Shaheen hotel,74.321655100000001,35.918293200000001
13584,hotel,Al-baddar hotel,73.068370900000005,33.612997999999997
13585,hotel,Al-Farooq Hotel,71.787205999999998,35.855680499999998
13586,school,THE RANA SCHOOL,74.496444600000004,32.488664300000003
13587,atm, ,74.367019799999994,32.700800399999999
13588,school,Government Higher Secondary School Tanda,74.369510899999995,32.705158699999998
13589,supermarket,Khatana Supermarket & Sweetshop,74.369117500000002,32.702981600000001
13590,guesthouse,Municipality Office Tanda,74.368610799999999,32.703294800000002
13591,police,Tanda Police Station,74.369361499999997,32.702283000000001
13592,water_well, ,74.369894200000005,32.703685600000000
13593,drinking_water,Town Water Supplies,74.369815900000006,32.703463599999999
13594,waste_basket, ,74.369770399999993,32.702205499999998
13595,bank,UBL Bank Tanda,74.367112500000005,32.700823200000002
13596,bank,National Bank Tanda,74.367033899999996,32.700631000000001
13597,hospital,Government Rural Health Centre Tanda,74.365476700000002,32.698521900000003
13598,pharmacy,Deen Memorial Pharmacy,74.365222200000005,32.699810800000002
13599,butcher,Butcher Shop,74.366402699999995,32.699962200000002
13600,school,Jinnah Star School Tanda,74.365621300000001,32.701100900000000
13601,doityourself,Ishaq Hardware Store,74.367382300000003,32.700720900000000
13602,community_centre,Marriage Hall Tanda,74.355477199999996,32.697510800000003
13603,veterinary,Government Veterinary Centre Tanda,74.368155500000000,32.703723799999999
13604,department_store,Malik & Sons Tanda,74.370259300000001,32.701429099999999
13605,supermarket,Dewan Ali Supermarket,74.369520100000003,32.702998299999997
13606,computer_shop,Government Computer Centre Tanda,74.369101499999999,32.705113699999998
13607,memorial,Cimentry Tanda,74.369479400000003,32.705856900000001
13608,school,Government Primary Boys School Tanda,74.368624600000004,32.704892200000003
13609,playground, ,74.369137100000003,32.704549399999998
13610,hospital,Village Hospital Tanda,74.370588100000006,32.701502900000001
13611,shoe_shop,Bata & Service Shop Tanda,74.368970500000003,32.701318899999997
13612,furniture_shop,Sufi  Furniture Store,74.369319099999998,32.701358300000003
13613,atm, ,71.232014800000002,31.397726500000001
13614,memorial,مہر ساجد حمید,71.229946600000005,31.369753500000002
13615,mobile_phone_shop,hkt,74.319001700000001,31.563364000000000
13616,hospital,Imdad Hospital,67.002384899999996,30.189104000000000
13617,viewpoint,Spin Karez,67.144988600000005,30.220269299999998
13618,car_dealership,Hamza Motor and Property Dealers,73.605091999999999,33.036692100000003
13619,bank,Muslim Commercial Bank,71.231984800000006,31.397821799999999
13620,hotel,Talib Jan Khaksar Hotel,71.230033800000001,31.376016499999999
13621,post_office,"Post Office 67ML,30052",71.224548100000007,31.393265199999998
13622,post_office,"Pakistan Post Office ,30052",71.226704600000005,31.392937000000000
13623,hospital,RHC 67 ML,71.227194699999998,31.396832400000001
13624,school,Government Higher Secondary school 67 ML,71.228975899999995,31.397737800000002
13625,school,Government Middle School 68 ML,71.226269400000007,31.363104000000000
13626,school,"UET Lahore, Faisalabad Campus",73.253747399999995,31.462253300000000
13627,hostel, ,71.587412400000005,34.034917999999998
13628,picnic_site, ,73.402884000000000,34.026868000000000
13629,bank,Muslim Commercial Bank (MCB),74.348481000000007,31.431441299999999
13630,pharmacy,Truworth Drug store,73.084223399999999,33.716659999999997
13631,bank,National Savings Centre,73.085892900000005,33.717509499999998
13632,school,Naqqash Villas,68.332592399999996,25.404811400000000
13633,convenience,Hammad General Store,73.091422300000005,33.713061099999997
13634,guesthouse, ,74.186397200000002,32.088517099999997
13635,restaurant,Bismillah High Way,72.021225700000002,30.335504400000001
13636,pharmacy,Clanic plus pharmacy,71.923472899999993,30.297022900000002
13637,post_office,General post office,71.922517200000001,30.299533199999999
13638,bank,united bank limited,71.921899300000007,30.300974100000001
13639,hairdresser,choice hair cut,71.921106600000002,30.295280999999999
13640,bakery,Bismillah fort bakery,71.918584499999994,30.299149400000001
13641,bakery,Bismillah bakery,71.918615000000003,30.298730599999999
13642,jeweller,Iqbal Watch,71.469666799999999,30.190497600000000
13643,bank,HBL 1269,71.445612499999996,30.186091900000001
13644,bank,UBL,71.445523100000003,30.186057099999999
13645,hospital,SHISTA SOHAIL MEDICAL CENTRE,71.444177400000001,30.185771500000001
13646,bank,MCB,71.463629699999998,30.188251399999999
13647,bank,NATIONAL BANK OF PAKISTAN,71.459773999999996,30.186692900000001
13648,bank,MEEZAN BANK,71.464751199999995,30.188565900000000
13649,bank,HBL BANK,71.464352199999993,30.188441099999999
