FID,fclass,name,X,Y
2498,graveyard,D-Ground Grave Yard,73.108052355400005,31.409310356799999
2499,graveyard,Grave Yard,73.099629336400000,31.409565239399999
2500,park, ,73.094577554300002,31.400142748499999
2501,graveyard, ,73.097664926299998,31.402334170200000
2502,park,Gatwala Park,73.210148506799996,31.477199747099998
2503,park, ,74.309936709100000,31.587016801299999
2504,park, ,74.311103296300004,31.587236785500000
2505,park,Iqbal Park,72.437377267100004,30.765763080100001
2506,university,NED University of Engineering & Technology,67.112986916500006,24.931664241699998
2507,park, ,74.142610925000000,32.227322285299998
2508,supermarket, ,74.122372103000004,32.247810384899999
2509,park,Hathi Park,74.105290101199998,32.243461368100000
2510,park,Jinnah Park,72.367320412300003,33.769084255300001
2511,park, ,72.352643404299997,33.772334450199999
2512,pitch,LALAZAR Stadium / لالازار سٹیڈیم,72.358314105999995,33.771832817499998
2513,mall,Zamzama Shopping Mall,72.366390480099994,33.766833631600001
2514,golf_course,Indus Golf Club,72.371500295299995,33.758988653000003
2515,school, ,73.377247745999995,33.891883242600002
2516,hospital,Combined Military Hospital,73.385297626400003,33.898077286800003
2517,pitch,Gahrial Ground,73.435368377900005,33.916960895499997
2518,pitch, ,73.453840039400006,33.957615653200001
2519,golf_course,Piffers Golf Club,73.227574210200004,34.154578074200003
2520,hospital,DHQ Hospital,73.221444491499994,34.145618159100003
2521,park, ,74.152855369999997,32.233935087900001
2522,pitch, ,70.077076094999995,33.001363370000000
2523,pitch, ,74.350880799999999,31.549413950000002
2524,park,Baradari Park,74.361970410400005,31.548328653900001
2525,playground,Ali Park Playground,74.402381669600004,31.496309218699999
2526,park,Park,74.408730005600006,31.501444259599999
2527,wastewater_plant,Ali Park Water Plant,74.408938687299994,31.501356773700000
2528,convenience,Mini Market,74.408755751100003,31.499874149299998
2529,school, ,74.395796191399995,31.499002580999999
2530,supermarket,CSD Supermarket,74.387181286699999,31.503571588500002
2531,park,Nasir Bagh,74.306187422400001,31.570885662900000
2532,pitch, ,74.366365010400003,31.532868773499999
2533,golf_course,Gymkhana,74.354121555000006,31.534956189100001
2534,bank,Postal Life Insurance Building,74.312348850000006,31.565366350000001
2535,zoo, ,74.325919997000000,31.556331166900002
2536,park, ,74.397556023500002,31.533879413000001
2537,park, ,74.398764704800001,31.532356163799999
2538,park, ,74.304797545200003,31.554015852799999
2539,graveyard,Miani Sahab Graveyard,74.307702209300004,31.548437161799999
2540,park, ,74.326117763799999,31.540948864099999
2541,park, ,74.327588973399997,31.540798060899998
2542,park, ,74.333792770800002,31.506207717199999
2543,hospital, ,74.307621287499998,31.588288467000002
2544,park,Ali Park,74.313478505099994,31.586079059399999
2545,hospital,Punjab Dental Hospital,74.307999184400003,31.586725598699999
2546,park, ,74.307221033800005,31.584463518200000
2547,university,Punjab University,74.308779632099998,31.569873395300000
2548,hospital,Mayo Hospital,74.316336009699995,31.569399167200000
2549,park,Jam-e-Shireen Park,74.343097949599994,31.506663785099999
2550,park, ,74.262977707399997,31.526801467999999
2551,park,Usman Park,74.278515150000004,31.546614099999999
2552,park, ,74.264496432399994,31.523541266700001
2553,park, ,74.262602369099994,31.530022731700001
2554,playground, ,74.260387107200003,31.502228625099999
2555,playground, ,74.261897215299996,31.504715424699999
2556,park,Shouk Chowk Park,74.302686099400006,31.470595929100000
2557,park, ,74.290032346600000,31.463174073200001
2558,park, ,74.289102752100007,31.513435913599999
2559,park, ,74.304469061899994,31.455190189500001
2560,park, ,74.303113240499997,31.456287450700000
2561,park, ,74.306144449000001,31.470716545599998
2562,park,Punjab Government Employees Housing Society,74.286139849500003,31.441475344800001
