FID,name,aeroway,X,Y
497, ,runway,72.150415499999994,30.104758900000000
498, ,runway,72.157737100000006,30.075553700000000
499, ,taxiway,72.154015299999998,30.076780899999999
500, ,taxiway,72.148788800000005,30.078932399999999
501, ,taxiway,72.153581099999997,30.076515799999999
502, ,taxiway,72.154015299999998,30.076780899999999
503, ,taxiway,72.148788800000005,30.078932399999999
504, ,taxiway,72.146853600000000,30.080495299999999
505, ,taxiway,72.148343600000004,30.078738600000001
506, ,taxiway,72.147347100000005,30.080577699999999
507, ,runway,71.733097999999998,29.350796400000000
508, ,taxiway,71.705077799999998,29.346003199999998
509, ,runway,71.703743500000002,29.345775000000000
510, ,runway,64.414956500000002,28.868220099999998
511, ,taxiway,64.403288300000000,28.875076400000001
512, ,taxiway,64.403288300000000,28.875076400000001
513, ,taxiway,64.403243300000000,28.874928799999999
514, ,taxiway,64.403534699999994,28.875374200000000
515, ,taxiway,64.403534699999994,28.875374200000000
516, ,runway,66.022283400000006,29.537482600000001
517, ,taxiway,62.730664200000000,28.822700399999999
518, ,taxiway,62.730849599999999,28.822762900000001
519, ,taxiway,62.730945300000002,28.822905800000001
520, ,runway,62.731764800000001,28.814657199999999
521, ,taxiway,71.517874000000006,33.983014900000001
522, ,taxiway,71.517633599999996,33.985600499999997
523, ,taxiway,71.517713200000003,33.985125500000002
524, ,taxiway,71.516864799999993,34.000679300000002
525, ,taxiway,71.517471400000005,34.000720399999999
526, ,taxiway,71.517471400000005,34.000720399999999
527, ,taxiway,71.518039900000005,33.999670899999998
528, ,taxiway,71.517868000000007,33.999016699999999
529, ,taxiway,71.518079599999993,33.999448500000000
530, ,taxiway,71.517302500000000,33.999037100000002
531, ,taxiway,71.515174799999997,34.006714199999998
532, ,taxiway,71.514423399999998,33.995392000000002
533, ,taxiway,71.514981000000006,33.988734200000003
534, ,taxiway,71.504924200000005,33.998709300000002
535, ,taxiway,71.507360300000002,33.999336399999997
536, ,taxiway,71.503069199999999,33.999456000000002
537, ,taxiway,71.516920099999993,34.001185200000002
538, ,taxiway,71.517129199999999,34.001631799999998
539, ,taxiway,71.517129199999999,34.001631799999998
540, ,taxiway,71.516834200000005,34.001844699999999
541, ,taxiway,71.516068500000003,34.002556700000000
542, ,taxiway,71.516345000000001,34.003034900000003
543, ,taxiway,71.515174900000005,34.004319899999999
544, ,taxiway,71.515460000000004,34.003813700000002
545, ,runway,67.848652000000001,29.570393400000000
546, ,runway,68.392911100000006,26.231916500000001
547, ,taxiway,68.386852000000005,26.220448900000001
548, ,taxiway,68.387163400000006,26.221617299999998
549, ,taxiway,68.385274899999999,26.207894000000000
550, ,taxiway,68.390571300000005,26.226092099999999
551, ,taxiway,68.392384800000002,26.230592500000000
552, ,runway,66.921809300000007,24.940581500000000
553, ,taxiway,63.357495000000000,25.296244300000001
554, ,taxiway,63.356045500000000,25.295490399999998
555, ,taxiway,63.356840900000002,25.296088699999999
556, ,taxiway,63.356573599999997,25.295770000000001
557, ,taxiway,63.333150000000003,25.282260099999998
558, ,taxiway,63.332615199999999,25.282338899999999
559, ,taxiway,63.333449700000003,25.282809000000000
560, ,taxiway,63.333936899999998,25.283129599999999
561, ,taxiway,63.348289000000001,25.292347199999998
562, ,taxiway,63.347400700000001,25.291849899999999
563, ,runway,69.058810899999997,28.951373199999999
564, ,taxiway,61.801740400000000,25.067378500000000
